Country or region,Year,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Mauritania,2018,4.356,0.557,1.245,0.292,0.129,0.134,0.093
Ethiopia,2018,4.35,0.308,0.95,0.391,0.452,0.22,0.146
Georgia,2018,4.34,0.853,0.592,0.643,0.375,0.038,0.215
Armenia,2018,4.321,0.816,0.99,0.666,0.26,0.077,0.028
Myanmar,2018,4.308,0.682,1.174,0.429,0.58,0.598,0.178
Chad,2018,4.301,0.358,0.907,0.053,0.189,0.181,0.06
Congo (Kinshasa),2018,4.245,0.069,1.136,0.204,0.312,0.197,0.052
India,2018,4.19,0.721,0.747,0.485,0.539,0.172,0.093
Niger,2018,4.166,0.131,0.867,0.221,0.39,0.175,0.099
Uganda,2018,4.161,0.322,1.09,0.237,0.45,0.259,0.061
Benin,2018,4.141,0.378,0.372,0.24,0.44,0.163,0.067
Ukraine,2018,4.103,0.793,1.413,0.609,0.163,0.187,0.011
Togo,2018,3.999,0.259,0.474,0.253,0.434,0.158,0.101
Guinea,2018,3.964,0.344,0.792,0.211,0.394,0.185,0.094
Lesotho,2018,3.808,0.472,1.215,0.079,0.423,0.116,0.112
Madagascar,2018,3.774,0.262,0.908,0.402,0.221,0.155,0.049
Zimbabwe,2018,3.692,0.357,1.094,0.248,0.406,0.132,0.099
Afghanistan,2018,3.632,0.332,0.537,0.255,0.085,0.191,0.036
Botswana,2018,3.59,1.017,1.174,0.417,0.557,0.042,0.092
Malawi,2018,3.587,0.186,0.541,0.306,0.531,0.21,0.08
Haiti,2018,3.582,0.315,0.714,0.289,0.025,0.392,0.104
Liberia,2018,3.495,0.076,0.858,0.267,0.419,0.206,0.03
Syria,2018,3.462,0.689,0.382,0.539,0.088,0.376,0.144
Rwanda,2018,3.408,0.332,0.896,0.4,0.636,0.2,0.444
Yemen,2018,3.355,0.442,1.073,0.343,0.244,0.083,0.064
Tanzania,2018,3.303,0.455,0.991,0.381,0.481,0.27,0.097
South Sudan,2018,3.254,0.337,0.608,0.177,0.112,0.224,0.106
Central African Republic,2018,3.083,0.024,0.0,0.01,0.305,0.218,0.038
Burundi,2018,2.905,0.091,0.627,0.145,0.065,0.149,0.076
Finland,2019,7.769,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,2019,7.6,1.383,1.573,0.996,0.592,0.252,0.41
Norway,2019,7.554,1.488,1.582,1.028,0.603,0.271,0.341
Iceland,2019,7.494,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,2019,7.488,1.396,1.522,0.999,0.557,0.322,0.298
Switzerland,2019,7.48,1.452,1.526,1.052,0.572,0.263,0.343
Sweden,2019,7.343,1.387,1.487,1.009,0.574,0.267,0.373
New Zealand,2019,7.307,1.303,1.557,1.026,0.585,0.33,0.38
Canada,2019,7.278,1.365,1.505,1.039,0.584,0.285,0.308
Austria,2019,7.246,1.376,1.475,1.016,0.532,0.244,0.226
Australia,2019,7.228,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,2019,7.167,1.034,1.441,0.963,0.558,0.144,0.093
Israel,2019,7.139,1.276,1.455,1.029,0.371,0.261,0.082
Luxembourg,2019,7.09,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,2019,7.054,1.333,1.538,0.996,0.45,0.348,0.278
Ireland,2019,7.021,1.499,1.553,0.999,0.516,0.298,0.31
Germany,2019,6.985,1.373,1.454,0.987,0.495,0.261,0.265
Belgium,2019,6.923,1.356,1.504,0.986,0.473,0.16,0.21
United States,2019,6.892,1.433,1.457,0.874,0.454,0.28,0.128
Czech Republic,2019,6.852,1.269,1.487,0.92,0.457,0.046,0.036
United Arab Emirates,2019,6.825,1.503,1.31,0.825,0.598,0.262,0.182
Malta,2019,6.726,1.3,1.52,0.999,0.564,0.375,0.151
Mexico,2019,6.595,1.07,1.323,0.861,0.433,0.074,0.073
France,2019,6.592,1.324,1.472,1.045,0.436,0.111,0.183
Chile,2019,6.444,1.159,1.369,0.92,0.357,0.187,0.056
Guatemala,2019,6.436,0.8,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,2019,6.375,1.403,1.357,0.795,0.439,0.08,0.132
Qatar,2019,6.374,1.684,1.313,0.871,0.555,0.22,0.167
Spain,2019,6.354,1.286,1.484,1.062,0.362,0.153,0.079
Panama,2019,6.321,1.149,1.442,0.91,0.516,0.109,0.054
Brazil,2019,6.3,1.004,1.439,0.802,0.39,0.099,0.086
Uruguay,2019,6.293,1.124,1.465,0.891,0.523,0.127,0.15
Singapore,2019,6.262,1.572,1.463,1.141,0.556,0.271,0.453
El Salvador,2019,6.253,0.794,1.242,0.789,0.43,0.093,0.074
Italy,2019,6.223,1.294,1.488,1.039,0.231,0.158,0.03
Bahrain,2019,6.199,1.362,1.368,0.871,0.536,0.255,0.11
Slovakia,2019,6.198,1.246,1.504,0.881,0.334,0.121,0.014
Poland,2019,6.182,1.206,1.438,0.884,0.483,0.117,0.05
Uzbekistan,2019,6.174,0.745,1.529,0.756,0.631,0.322,0.24
Lithuania,2019,6.149,1.238,1.515,0.818,0.291,0.043,0.042
Colombia,2019,6.125,0.985,1.41,0.841,0.47,0.099,0.034
Slovenia,2019,6.118,1.258,1.523,0.953,0.564,0.144,0.057
Nicaragua,2019,6.105,0.694,1.325,0.835,0.435,0.2,0.127
Kosovo,2019,6.1,0.882,1.232,0.758,0.489,0.262,0.006
Argentina,2019,6.086,1.092,1.432,0.881,0.471,0.066,0.05
Romania,2019,6.07,1.162,1.232,0.825,0.462,0.083,0.005
Cyprus,2019,6.046,1.263,1.223,1.042,0.406,0.19,0.041
Ecuador,2019,6.028,0.912,1.312,0.868,0.498,0.126,0.087
Kuwait,2019,6.021,1.5,1.319,0.808,0.493,0.142,0.097
Thailand,2019,6.008,1.05,1.409,0.828,0.557,0.359,0.028
Latvia,2019,5.94,1.187,1.465,0.812,0.264,0.075,0.064
South Korea,2019,5.895,1.301,1.219,1.036,0.159,0.175,0.056
Estonia,2019,5.893,1.237,1.528,0.874,0.495,0.103,0.161
Jamaica,2019,5.89,0.831,1.478,0.831,0.49,0.107,0.028
Mauritius,2019,5.888,1.12,1.402,0.798,0.498,0.215,0.06
Japan,2019,5.886,1.327,1.419,1.088,0.445,0.069,0.14
Honduras,2019,5.86,0.642,1.236,0.828,0.507,0.246,0.078
Kazakhstan,2019,5.809,1.173,1.508,0.729,0.41,0.146,0.096
Bolivia,2019,5.779,0.776,1.209,0.706,0.511,0.137,0.064
Hungary,2019,5.758,1.201,1.41,0.828,0.199,0.081,0.02
Paraguay,2019,5.743,0.855,1.475,0.777,0.514,0.184,0.08
Peru,2019,5.697,0.96,1.274,0.854,0.455,0.083,0.027
Portugal,2019,5.693,1.221,1.431,0.999,0.508,0.047,0.025
Pakistan,2019,5.653,0.677,0.886,0.535,0.313,0.22,0.098
Russia,2019,5.648,1.183,1.452,0.726,0.334,0.082,0.031
Philippines,2019,5.631,0.807,1.293,0.657,0.558,0.117,0.107
Serbia,2019,5.603,1.004,1.383,0.854,0.282,0.137,0.039
Moldova,2019,5.529,0.685,1.328,0.739,0.245,0.181,0.0
Libya,2019,5.525,1.044,1.303,0.673,0.416,0.133,0.152
Montenegro,2019,5.523,1.051,1.361,0.871,0.197,0.142,0.08
Tajikistan,2019,5.467,0.493,1.098,0.718,0.389,0.23,0.144
Croatia,2019,5.432,1.155,1.266,0.914,0.296,0.119,0.022
Dominican Republic,2019,5.425,1.015,1.401,0.779,0.497,0.113,0.101
Bosnia and Herzegovina,2019,5.386,0.945,1.212,0.845,0.212,0.263,0.006
Turkey,2019,5.373,1.183,1.36,0.808,0.195,0.083,0.106
Malaysia,2019,5.339,1.221,1.171,0.828,0.508,0.26,0.024
Belarus,2019,5.323,1.067,1.465,0.789,0.235,0.094,0.142
Greece,2019,5.287,1.181,1.156,0.999,0.067,0.0,0.034
Mongolia,2019,5.285,0.948,1.531,0.667,0.317,0.235,0.038
Nigeria,2019,5.265,0.696,1.111,0.245,0.426,0.215,0.041
Kyrgyzstan,2019,5.261,0.551,1.438,0.723,0.508,0.3,0.023
Turkmenistan,2019,5.247,1.052,1.538,0.657,0.394,0.244,0.028
Algeria,2019,5.211,1.002,1.16,0.785,0.086,0.073,0.114
Morocco,2019,5.208,0.801,0.782,0.782,0.418,0.036,0.076
Azerbaijan,2019,5.208,1.043,1.147,0.769,0.351,0.035,0.182
Lebanon,2019,5.197,0.987,1.224,0.815,0.216,0.166,0.027
Indonesia,2019,5.192,0.931,1.203,0.66,0.491,0.498,0.028
China,2019,5.191,1.029,1.125,0.893,0.521,0.058,0.1
Vietnam,2019,5.175,0.741,1.346,0.851,0.543,0.147,0.073
Bhutan,2019,5.082,0.813,1.321,0.604,0.457,0.37,0.167
Cameroon,2019,5.044,0.549,0.91,0.331,0.381,0.187,0.037
Bulgaria,2019,5.011,1.092,1.513,0.815,0.311,0.081,0.004
Ghana,2019,4.996,0.611,0.868,0.486,0.381,0.245,0.04
Ivory Coast,2019,4.944,0.569,0.808,0.232,0.352,0.154,0.09
Nepal,2019,4.913,0.446,1.226,0.677,0.439,0.285,0.089
Jordan,2019,4.906,0.837,1.225,0.815,0.383,0.11,0.13
Benin,2019,4.883,0.393,0.437,0.397,0.349,0.175,0.082
Congo (Brazzaville),2019,4.812,0.673,0.799,0.508,0.372,0.105,0.093
Gabon,2019,4.799,1.057,1.183,0.571,0.295,0.043,0.055
South Africa,2019,4.722,0.96,1.351,0.469,0.389,0.13,0.055
Albania,2019,4.719,0.947,0.848,0.874,0.383,0.178,0.027
Venezuela,2019,4.707,0.96,1.427,0.805,0.154,0.064,0.047
Cambodia,2019,4.7,0.574,1.122,0.637,0.609,0.232,0.062
Palestinian Territories,2019,4.696,0.657,1.247,0.672,0.225,0.103,0.066
Senegal,2019,4.681,0.45,1.134,0.571,0.292,0.153,0.072
Somalia,2019,4.668,0.0,0.698,0.268,0.559,0.243,0.27
Namibia,2019,4.639,0.879,1.313,0.477,0.401,0.07,0.056
Niger,2019,4.628,0.138,0.774,0.366,0.318,0.188,0.102
Burkina Faso,2019,4.587,0.331,1.056,0.38,0.255,0.177,0.113
Armenia,2019,4.559,0.85,1.055,0.815,0.283,0.095,0.064
Iran,2019,4.548,1.1,0.842,0.785,0.305,0.27,0.125
Guinea,2019,4.534,0.38,0.829,0.375,0.332,0.207,0.086
Georgia,2019,4.519,0.886,0.666,0.752,0.346,0.043,0.164
Kenya,2019,4.509,0.512,0.983,0.581,0.431,0.372,0.053
Mauritania,2019,4.49,0.57,1.167,0.489,0.066,0.106,0.088
Mozambique,2019,4.466,0.204,0.986,0.39,0.494,0.197,0.138
Tunisia,2019,4.461,0.921,1.0,0.815,0.167,0.059,0.055
Bangladesh,2019,4.456,0.562,0.928,0.723,0.527,0.166,0.143
Iraq,2019,4.437,1.043,0.98,0.574,0.241,0.148,0.089
Congo (Kinshasa),2019,4.418,0.094,1.125,0.357,0.269,0.212,0.053
Mali,2019,4.39,0.385,1.105,0.308,0.327,0.153,0.052
Sierra Leone,2019,4.374,0.268,0.841,0.242,0.309,0.252,0.045
Sri Lanka,2019,4.366,0.949,1.265,0.831,0.47,0.244,0.047
Myanmar,2019,4.36,0.71,1.181,0.555,0.525,0.566,0.172
Chad,2019,4.35,0.35,0.766,0.192,0.174,0.198,0.078
Ukraine,2019,4.332,0.82,1.39,0.739,0.178,0.187,0.01
Ethiopia,2019,4.286,0.336,1.033,0.532,0.344,0.209,0.1
Uganda,2019,4.189,0.332,1.069,0.443,0.356,0.252,0.06
Egypt,2019,4.166,0.913,1.039,0.644,0.241,0.076,0.067
Zambia,2019,4.107,0.578,1.058,0.426,0.431,0.247,0.087
Togo,2019,4.085,0.275,0.572,0.41,0.293,0.177,0.085
India,2019,4.015,0.755,0.765,0.588,0.498,0.2,0.085
Liberia,2019,3.975,0.073,0.922,0.443,0.37,0.233,0.033
Madagascar,2019,3.933,0.274,0.916,0.555,0.148,0.169,0.041
Lesotho,2019,3.802,0.489,1.169,0.168,0.359,0.107,0.093
Burundi,2019,3.775,0.046,0.447,0.38,0.22,0.176,0.18
Zimbabwe,2019,3.663,0.366,1.114,0.433,0.361,0.151,0.089
Haiti,2019,3.597,0.323,0.688,0.449,0.026,0.419,0.11
Botswana,2019,3.488,1.041,1.145,0.538,0.455,0.025,0.1
Syria,2019,3.462,0.619,0.378,0.44,0.013,0.331,0.141
Malawi,2019,3.41,0.191,0.56,0.495,0.443,0.218,0.089
Yemen,2019,3.38,0.287,1.163,0.463,0.143,0.108,0.077
Rwanda,2019,3.334,0.359,0.711,0.614,0.555,0.217,0.411
Tanzania,2019,3.231,0.476,0.885,0.499,0.417,0.276,0.147
Afghanistan,2019,3.203,0.35,0.517,0.361,0.0,0.158,0.025
Central African Republic,2019,3.083,0.026,0.0,0.105,0.225,0.235,0.035
South Sudan,2019,2.853,0.306,0.575,0.295,0.01,0.202,0.091
