index,pos,driver,gap,time_remaining,session,parsed_value,value_type,lap_time_sec,pole_time_sec,gap_to_pole_sec,gap_to_pole_pct,z_score,cluster,is_fastest_cluster,is_outlier,best_lap_time_sec_std,mean_gap_to_pole_pct_std,share_within_0_5pct_std,qr_fitted
44,10,Carlos,1.69,00:07:48,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
44,11,Nico,1.693,00:07:48,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
44,12,Romain,2.965,00:07:48,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
44,1,Valtteri,01:25.8,00:03:53,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
44,2,Lewis,0.481,00:03:53,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
44,3,Daniel,0.851,00:03:53,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
44,4,Charles,0.924,00:03:53,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
44,5,Max,0.994,00:03:53,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
44,6,Lance,1.058,00:03:53,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
44,7,Alexander,1.196,00:03:53,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
44,8,Lando,1.283,00:03:53,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
44,9,Esteban,1.507,00:03:53,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
44,10,Pierre,1.592,00:03:53,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
44,11,Sebastian,1.594,00:03:53,Q2,1.594,gap,87.39399999999999,85.8,1.593999999999994,1.857808857808851,0.563306749921672,0,0,0,0.32240809566369727,0.05130538589116994,-0.4033930544087214,1.8366695261800223
44,12,Carlos,1.69,00:03:53,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
44,13,Nico,1.693,00:03:53,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
44,14,Romain,2.965,00:03:53,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
45,1,Valtteri,01:25.8,00:07:44,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
45,2,Lewis,0.481,00:07:44,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
45,3,Daniel,0.851,00:07:44,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
45,4,Max,0.994,00:07:44,Q2,0.994,gap,86.794,85.8,0.9939999999999998,1.1585081585081582,-0.3239368443970868,0,0,0,-0.7100634382060851,-0.7250591432201096,0.6235107319871428,1.3667362774733611
45,5,Lance,1.058,00:07:44,Q2,1.058,gap,86.858,85.8,1.058000000000007,1.2331002331002412,-0.22929752766974104,0,0,0,-0.5738267363541348,-0.01693795317890552,-0.4033930544087214,2.105005363910359
45,6,Alexander,1.196,00:07:44,Q2,1.196,gap,86.996,85.8,1.195999999999998,1.3939393939393916,-0.025231500976437848,0,0,0,-0.30698294842923557,0.11836287792135991,-0.3165522998290342,2.125116412876276
45,7,Lando,1.283,00:07:44,Q2,1.283,gap,87.083,85.8,1.2830000000000013,1.4953379953379968,0.10341882019978826,0,0,0,-0.03788731419272302,0.18272320513484303,-0.4033930544087214,2.095999270909495
45,8,Esteban,1.507,00:07:44,Q2,1.507,gap,87.307,85.8,1.507000000000005,1.7564102564102624,0.434656428745467,0,0,0,-0.5918415068469615,-0.1004045164011523,-0.4033930544087214,2.0321266099385165
45,9,Pierre,1.592,00:07:44,Q2,1.592,gap,87.392,85.8,1.5919999999999987,1.855477855477854,0.5603492712739495,0,0,0,-0.42182711032095527,0.054019664344794154,-0.31843672849984117,2.106700226758785
45,10,Carlos,1.69,00:07:44,Q2,1.69,gap,87.49,85.8,1.6899999999999977,1.969696969696967,0.70526572501268,0,0,0,0.3280377114426986,0.10391248988124763,-0.4033930544087214,1.8847329711538061
45,11,Nico,1.693,00:07:44,Q2,1.693,gap,87.493,85.8,1.6929999999999978,1.9731934731934706,0.709701942984274,0,0,0,-0.8159002148514155,-0.5239050724400899,-0.10923747516607785,1.679097389378796
45,12,Romain,2.965,00:07:44,Q2,2.965,gap,88.765,85.8,2.9650000000000034,3.4557109557109595,2.5906583629400686,0,0,0,0.02178661306474214,1.0755586283169865,-0.4033930544087214,2.9250647336036746
45,1,Valtteri,01:25.8,00:03:49,Q2,85.8,absolute,85.8,85.8,0.0,0.0,-1.7938037323185108,1,1,0,-1.860756903435007,-2.013861469175051,3.4351842430514847,0.2544197690139056
45,2,Lewis,0.481,00:03:49,Q2,0.481,gap,86.28099999999999,85.8,0.48099999999999454,0.5606060606060542,-1.0825301175396405,1,1,0,-1.7898237446195233,-1.8792760546064902,2.3102273679091856,0.4810164398936566
45,3,Daniel,0.851,00:03:49,Q2,0.851,gap,86.651,85.8,0.8509999999999991,0.9918414918414908,-0.5353965677097272,0,0,0,-0.7100634382060851,-0.6921864690618746,-0.39584956561173834,1.5110413975679389
45,4,Charles,0.924,00:03:49,Q2,0.924,gap,86.724,85.8,0.9240000000000066,1.0769230769230846,-0.4274485970675995,0,0,0,-0.30698294842923557,-0.3830318715621871,-0.38812962093646325,1.6549990119924165
